tempreature/J                              E                                     Cv                                    m                                  chi
3.850000000000e+00                    -1.171646492649e+00                    3.567807886305e-01                    1.738275817582e-01                    2.453184467621e-05                    
3.875000000000e+00                    -1.159561896190e+00                    3.499620523263e-01                    1.729966996700e-01                    2.327015598986e-05                    
3.900000000000e+00                    -1.148940738074e+00                    3.470998501805e-01                    1.718119531953e-01                    2.316096959549e-05                    
3.925000000000e+00                    -1.143134533453e+00                    3.426456686947e-01                    1.719335613561e-01                    2.229540812679e-05                    
3.950000000000e+00                    -1.132345694569e+00                    3.365657588505e-01                    1.677834053405e-01                    2.229659043889e-05                    
3.975000000000e+00                    -1.123129456946e+00                    3.320479008171e-01                    1.668583048305e-01                    2.200637166215e-05                    
4.000000000000e+00                    -1.118360636064e+00                    3.233485015252e-01                    1.657465256526e-01                    2.180371351336e-05                    
4.025000000000e+00                    -1.104002016202e+00                    3.188774011332e-01                    1.656373057306e-01                    2.148075308815e-05                    
4.050000000000e+00                    -1.099078943894e+00                    3.133633992516e-01                    1.631117221722e-01                    2.105658719458e-05                    
4.075000000000e+00                    -1.089807380738e+00                    3.086823383304e-01                    1.628217311731e-01                    2.056061018815e-05                    
4.100000000000e+00                    -1.084285616562e+00                    3.043584450277e-01                    1.625506900690e-01                    2.022178417662e-05                    
4.125000000000e+00                    -1.071087920792e+00                    3.012374090257e-01                    1.606140774077e-01                    2.025447499803e-05                    
4.150000000000e+00                    -1.067052733273e+00                    2.960777591677e-01                    1.592376627663e-01                    1.916887707044e-05                    
4.175000000000e+00                    -1.058875811581e+00                    2.888964201452e-01                    1.585654575458e-01                    1.930070030730e-05                    
4.200000000000e+00                    -1.049350195020e+00                    2.873726175861e-01                    1.572356495650e-01                    1.900428453263e-05                    
4.225000000000e+00                    -1.041744122412e+00                    2.803625436055e-01                    1.577985358536e-01                    1.856143279763e-05                    
4.250000000000e+00                    -1.037618637864e+00                    2.762605702471e-01                    1.564135523552e-01                    1.866350150400e-05                    
4.275000000000e+00                    -1.029689024902e+00                    2.783897205352e-01                    1.547904350435e-01                    1.811129682874e-05                    
4.300000000000e+00                    -1.020729588959e+00                    2.721407312060e-01                    1.537996339634e-01                    1.800102990717e-05                    
4.325000000000e+00                    -1.013160984098e+00                    2.681738281405e-01                    1.527564206421e-01                    1.783914331428e-05                    
4.350000000000e+00                    -1.008401344134e+00                    2.642790099531e-01                    1.517098349835e-01                    1.759050009122e-05                    
4.375000000000e+00                    -1.000478235824e+00                    2.592285749330e-01                    1.512972397240e-01                    1.700219800519e-05                    
4.400000000000e+00                    -9.938190219022e-01                    2.541158964138e-01                    1.508544434443e-01                    1.679713142563e-05                    
4.425000000000e+00                    -9.879107230723e-01                    2.507418646917e-01                    1.502114071407e-01                    1.667584440164e-05                    
4.450000000000e+00                    -9.774826642664e-01                    2.494892733514e-01                    1.496324182418e-01                    1.675620454805e-05                    
4.475000000000e+00                    -9.747040744074e-01                    2.458796605694e-01                    1.486639663966e-01                    1.616244069486e-05                    
4.500000000000e+00                    -9.662691629163e-01                    2.407295762546e-01                    1.474839063906e-01                    1.615597059422e-05                    
4.525000000000e+00                    -9.596620102010e-01                    2.382935271504e-01                    1.459126972697e-01                    1.583858104684e-05                    
4.550000000000e+00                    -9.571816381638e-01                    2.342422458399e-01                    1.456218211821e-01                    1.557722569594e-05                    
4.575000000000e+00                    -9.498609900990e-01                    2.299137122085e-01                    1.445696309631e-01                    1.549814244344e-05                    
4.600000000000e+00                    -9.458726072607e-01                    2.267931282042e-01                    1.447457875788e-01                    1.533609514499e-05                    
4.625000000000e+00                    -9.367961236124e-01                    2.266733494766e-01                    1.450369906991e-01                    1.494051431056e-05                    
4.650000000000e+00                    -9.331965796580e-01                    2.226167457144e-01                    1.422462856286e-01                    1.503574029145e-05                    
4.675000000000e+00                    -9.268605940594e-01                    2.198093741816e-01                    1.427834263426e-01                    1.476711198735e-05                    
4.700000000000e+00                    -9.185999639964e-01                    2.199979031246e-01                    1.421009630963e-01                    1.458178353400e-05                    
4.725000000000e+00                    -9.165425142514e-01                    2.156872967499e-01                    1.407618961896e-01                    1.419367611506e-05                    
4.750000000000e+00                    -9.092984098410e-01                    2.118204135631e-01                    1.408988298830e-01                    1.414753194069e-05                    
4.775000000000e+00                    -9.011915271527e-01                    2.098262342437e-01                    1.402188628863e-01                    1.401541157208e-05                    
4.800000000000e+00                    -8.963818661866e-01                    2.062754426933e-01                    1.388262436244e-01                    1.378857471029e-05                    
